GRAO,,,,,,,,,,,,,,,,,Artes escénicas II,,,Bioloxía,,,Debuxo técnico II,,,Deseño,,Empresa e deseño de modelos de negocio,,Física,,,Fundamentos artísticos,,,Historia da arte,,,,Matemáticas II,,,Matemáticas aplicadas ás ciencias sociais II,,,Química,,Xeografía,,,,Xeoloxía e ciencias ambientais,,Ciencias xerais,,Debuxo técnico aplicado ás artes plásticas e ao deseño,Tecnoloxía e enxeñaría II,Debuxo artístico II,Técnicas de expresión gráfico-plástica,2ª lingua estranxeira II
Arquitectura Técnica,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0.2,,0.2,,0.2,,,0.2,,,0.2,,,,0.2,,,0.1,,,0.1,,0.1,,,,0.1,,0,,0.2,0.2,0.1,0.1,0
Ciencia e Enxeñería de Datos,,,,,,,,,,,,,,,,,0,,,0.2,,,0,,,0.2,,0.2,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Enxeñaría Aeroespacial,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0.1,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0.1,,0,,0,0.1,0,0,0
Enxeñaría Agraria,,,,,,,,,,,,,,,,,0,,,0.2,,,0.2,,,0.1,,0.1,,0.2,,,0,,,0,,,,0.2,,,0.1,,,0.2,,0.1,,,,0.2,,0,,0,0.2,0,0,0
Enxeñaría Agrícola e Agroalimentaria,,,,,,,,,,,,,,,,,0,,,0.2,,,0.2,,,0.1,,0.1,,0.2,,,0,,,0,,,,0.2,,,0.1,,,0.2,,0.1,,,,0.2,,0,,0,0.2,0,0,0
Enxeñaría Biomédica (tamén PCEOs),,,,,,,,,,,,,,,,,0,,,0.2,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.1,0,0,0
Enxeñaría Civil,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0.1,,0,,0,0.2,0,0,0
Enxeñaría da Automoción con mención dual,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Enxeñaría da Enerxía,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0.2,,0,,0,0.2,0,0,0
Enxeñaría de Obras Públicas,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0.1,,0,,0,0.2,0,0,0
Enxeñaría de Procesos Químicos Industriais,,,,,,,,,,,,,,,,,0,,,0.1,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0.1,,0,,0,0.1,0,0,0
Enxeñaría de Tecnoloxías de Telecomunicación,,,,,,,,,,,,,,,,,0,,,0,,,0.1,,,0,,0,,0.2,,,0,,,0,,,,0.2,,,0,,,0.1,,0,,,,0,,0,,0,0.2,0,0,0
Enxeñaría dos Recursos Mineiros e Enerxéticos,,,,,,,,,,,,,,,,,0,,,0.1,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0.2,,0,,0,0.2,0,0,0
Enxeñaría Eléctrica,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Enxeñaría Electrónica Industrial e Automática,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Enxeñaría en Deseño Industrial e Desenvolvemento do Produto,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0.2,,0.2,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0.1,0.2,0,0,0
Enxeñaría en Organización Industrial,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Enxeñaría en Química Industrial,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Enxeñaría en Tecnoloxías Industriais,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Enxeñaría Forestal,,,,,,,,,,,,,,,,,0,,,0.2,,,0.2,,,0,,0.2,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0.2,,0,,0,0.2,0,0,0
Enxeñaría Forestal e do Medio Natural,,,,,,,,,,,,,,,,,0,,,0.2,,,0.2,,,0,,0.2,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0.2,,0,,0,0.2,0,0,0
Enxeñaría Informática,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0.1,,0.1,,0.2,,,0,,,0,,,,0.2,,,0.1,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Enxeñaría Mecánica,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Enxeñaría Naval e Oceánica,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.1,0,0,0
Enxeñaría Química,,,,,,,,,,,,,,,,,0,,,0.1,,,0.2,,,0,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Estudos de Arquitectura,,,,,,,,,,,,,,,,,0.1,,,0.1,,,0.2,,,0.2,,0.1,,0.2,,,0.2,,,0.2,,,,0.2,,,0.1,,,0.1,,0.1,,,,0.1,,0,,0,0.1,0,0,0
Intelixencia Artificial,,,,,,,,,,,,,,,,,0,,,0.2,,,0.2,,,0.2,,0.2,,0.2,,,0,,,0,,,,0.2,,,0.2,,,0.2,,0,,,,0,,0,,0,0.2,0,0,0
Máquinas Navais,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0.2,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.1,0,0,0
Náutica e Transporte Marítimo,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0.2,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0,,0,,0,0.1,0,0,0
Paisaxe,,,,,,,,,,,,,,,,,0.1,,,0.2,,,0.2,,,0.2,,0.1,,0.1,,,0.1,,,0.1,,,,0.1,,,0.1,,,0.1,,0.2,,,,0.2,,0,,0,0.1,0,0,0
Robótica,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0.1,,0.1,,0.2,,,0,,,0,,,,0.2,,,0,,,0.1,,0,,,,0,,0,,0,0.2,0,0,0
Tecnoloxía da Enxeñaría Civil,,,,,,,,,,,,,,,,,0,,,0,,,0.2,,,0,,0,,0.2,,,0,,,0,,,,0.2,,,0,,,0.2,,0,,,,0.1,,0,,0,0.2,0,0,0
